"systematic_name_nonumber","gene_name","description","SGD","systematic_name_wnumber"
"YPR102C","RPL11A","Ribosomal 60S subunit protein L11A; expressed at twice the level of Rpl11Bp; involved in ribosomal assembly; depletion causes degradation of 60S proteins and RNA; homologous to mammalian ribosomal protein L11 and bacterial L5; RPL11A has a paralog, RPL11B, that arose from the whole genome duplication","S000006306","4932.YPR102C"
"YDR064W","RPS13","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S13 and bacterial S15","S000002471","4932.YDR064W"
"YHL015W","RPS20","Protein component of the small (40S) ribosomal subunit; overproduction suppresses mutations affecting RNA polymerase III-dependent transcription; homologous to mammalian ribosomal protein S20 and bacterial S10","S000001007","4932.YHL015W"
"YJL190C","RPS22A","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S15A and bacterial S8; RPS22A has a paralog, RPS22B, that arose from the whole genome duplication","S000003726","4932.YJL190C"
"YKL060C","FBA1","Fructose 1,6-bisphosphate aldolase; required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress; N-terminally propionylated in vivo","S000001543","4932.YKL060C"
"YDL022W","GPD1","NAD-dependent glycerol-3-phosphate dehydrogenase; key enzyme of glycerol synthesis, essential for growth under osmotic stress; expression regulated by high-osmolarity glycerol response pathway; protein abundance increases in response to DNA replication stress; constitutively inactivated via phosphorylation by the protein kinases Ypk1p and Ypk2p, dephosphorylation increases catalytic activity; forms a heterodimer with Pnc1p to facilitate its peroxisomal import","S000002180","4932.YDL022W"
"YNL177C","MRPL22","Mitochondrial ribosomal protein of the large subunit","S000005121","4932.YNL177C"
"YBR166C","TYR1","Prephenate dehydrogenase involved in tyrosine biosynthesis; expression is dependent on phenylalanine levels","S000000370","4932.YBR166C"
"YHR174W","ENO2","Enolase II, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression induced in response to glucose; ENO2 has a paralog, ENO1, that arose from the whole genome duplication","S000001217","4932.YHR174W"
"YJL129C","TRK1","Component of the Trk1p-Trk2p potassium transport system; 180 kDa high affinity potassium transporter; phosphorylated in vivo and interacts physically with the phosphatase Ppz1p, suggesting Trk1p acitivy is regulated by phosphorylation; TRK1 has a paralog, TRK2, that arose from the whole genome duplication","S000003665","4932.YJL129C"
"YGL105W","ARC1","Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases; involved in tRNA delivery, stimulating catalysis, and ensuring localization; also binds quadruplex nucleic acids; protein abundance increases in response to DNA replication stress; methionyl-tRNA synthetase is Mes1p; glutamyl-tRNA synthetase is Gus1p","S000003073","4932.YGL105W"
"YPR132W","RPS23B","Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit; required for translational accuracy; homologous to mammalian ribosomal protein S23 and bacterial S12; RPS23B has a paralog, RPS23A, that arose from the whole genome duplication; deletion of both RPS23A and RPS23B is lethal","S000006336","4932.YPR132W"
"YDR385W","EFT2","Elongation factor 2 (EF-2), also encoded by EFT1; catalyzes ribosomal translocation during protein synthesis; contains diphthamide, the unique posttranslationally modified histidine residue specifically ADP-ribosylated by diphtheria toxin; EFT2 has a paralog, EFT1, that arose from the whole genome duplication","S000002793","4932.YDR385W"
"YPL281C","ERR2","Enolase, a phosphopyruvate hydratase; catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate; complements the growth defect of an ENO1 ENO2 double mutant","S000006202","4932.YPL281C"
"YMR323W","ERR3","Enolase, a phosphopyruvate hydratase; catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate; complements the growth defect of an ENO1 ENO2 double mutant in glucose","S000004942","4932.YMR323W"
"YNL306W","MRPS18","Mitochondrial ribosomal protein of the small subunit; essential for viability, unlike most other mitoribosomal proteins","S000005250","4932.YNL306W"
"YML106W","URA5","Major orotate phosphoribosyltransferase (OPRTase) isozyme; catalyzes the fifth enzymatic step in de novo biosynthesis of pyrimidines, converting orotate into orotidine-5'-phosphate; URA5 has a paralog, URA10, that arose from the whole genome duplication","S000004574","4932.YML106W"
"YOR196C","LIP5","Protein involved in biosynthesis of the coenzyme lipoic acid; has similarity to E. coli lipoic acid synthase","S000005722","4932.YOR196C"
"YDR408C","ADE8","Phosphoribosyl-glycinamide transformylase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway","S000002816","4932.YDR408C"
"YHL001W","RPL14B","Ribosomal 60S subunit protein L14B; homologous to mammalian ribosomal protein L14, no bacterial homolog; RPL14B has a paralog, RPL14A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress","S000000993","4932.YHL001W"
"YJL200C","ACO2","Putative mitochondrial aconitase isozyme; similarity to Aco1p, an aconitase required for the TCA cycle; expression induced during growth on glucose, by amino acid starvation via Gcn4p, and repressed on ethanol","S000003736","4932.YJL200C"
"YDR341C",NA,"Arginyl-tRNA synthetase; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDR341C has a paralog, MSR1, that arose from the whole genome duplication","S000002749","4932.YDR341C"
"YOL126C","MDH2","Cytoplasmic malate dehydrogenase; one of three isozymes that catalyze interconversion of malate and oxaloacetate; involved in the glyoxylate cycle and gluconeogenesis during growth on two-carbon compounds; interacts with Pck1p and Fbp1","S000005486","4932.YOL126C"
"YOL049W","GSH2","Glutathione synthetase; catalyzes the ATP-dependent synthesis of glutathione (GSH) from gamma-glutamylcysteine and glycine; induced by oxidative stress and heat shock","S000005409","4932.YOL049W"
"YER023W","PRO3","Delta 1-pyrroline-5-carboxylate reductase; catalyzes the last step in proline biosynthesis","S000000825","4932.YER023W"
"YGL026C","TRP5","Tryptophan synthase; catalyzes the last step of tryptophan biosynthesis; regulated by the general control system of amino acid biosynthesis","S000002994","4932.YGL026C"
"YBR296C","PHO89","Plasma membrane Na+/Pi cotransporter; active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p; mutations in related human transporter genes hPit1 and hPit2 are associated with hyperphosphatemia-induced calcification of vascular tissue and familial idiopathic basal ganglia calcification","S000000500","4932.YBR296C"
"YOL071W","SDH5","Protein required for flavinylation of Sdh1p; binds to Sdh1p and promotes FAD cofactor attachment, which is necessary for succinate dehydrogenase (SDH) complex assembly and activity; mutations in human ortholog PGL2 are associated with neuroendocrine tumors (paraganglioma)","S000005432","4932.YOL071W"
"YJR064W","CCT5","Subunit of the cytosolic chaperonin Cct ring complex; related to Tcp1p, required for the assembly of actin and tubulins in vivo","S000003825","4932.YJR064W"
"YBR093C","PHO5","Repressible acid phosphatase; 1 of 3 repressible acid phosphatases that also mediates extracellular nucleotide-derived phosphate hydrolysis; secretory pathway derived cell surface glycoprotein; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2","S000000297","4932.YBR093C"
"YKL184W","SPE1","Ornithine decarboxylase; catalyzes the first step in polyamine biosynthesis; degraded in a proteasome-dependent manner in the presence of excess polyamines; deletion decreases lifespan, and increases necrotic cell death and ROS generation","S000001667","4932.YKL184W"
"YMR301C","ATM1","Mitochondrial inner membrane ATP-binding cassette (ABC) transporter; exports mitochondrially synthesized precursors of iron-sulfur (Fe/S) clusters to the cytosol; human homolog ABCB7 can complement yeast null mutant","S000004916","4932.YMR301C"
"YOL127W","RPL25","Ribosomal 60S subunit protein L25; primary rRNA-binding ribosomal protein component of large ribosomal subunit; binds to 25S rRNA via a conserved C-terminal motif; homologous to mammalian ribosomal protein L23A and bacterial L23","S000005487","4932.YOL127W"
"YPR033C","HTS1","Cytoplasmic and mitochondrial histidine tRNA synthetase; efficient mitochondrial localization requires both a presequence and an amino-terminal sequence; mutations in human ortholog HARS2 are associated with Perrault syndrome","S000006237","4932.YPR033C"
"YHR011W","DIA4","Probable mitochondrial seryl-tRNA synthetase; mutant displays increased invasive and pseudohyphal growth","S000001053","4932.YHR011W"
"YAL042W","ERV46","Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport","S000000040","4932.YAL042W"
"YOR373W","NUD1","Component of the spindle pole body outer plaque; acts through the mitotic exit network to specify asymmetric spindle pole body inheritance","S000005900","4932.YOR373W"
"YKR066C","CCP1","Mitochondrial cytochrome-c peroxidase; degrades reactive oxygen species in mitochondria, involved in the response to oxidative stress","S000001774","4932.YKR066C"
"YBR101C","FES1","Hsp70 (Ssa1p) nucleotide exchange factor; required for the release of misfolded proteins from the Hsp70 system to the Ub-proteasome machinery for destruction; cytosolic homolog of Sil1p, which is the nucleotide exchange factor for BiP (Kar2p) in the endoplasmic reticulum; protein abundance increases in response to DNA replication stress","S000000305","4932.YBR101C"
"YOR063W","RPL3","Ribosomal 60S subunit protein L3; homologous to mammalian ribosomal protein L3 and bacterial L3; plays an important role in function of eIF5B in stimulating 3' end processing of 18S rRNA in context of 80S ribosomes that have not yet engaged in translation; involved in replication and maintenance of killer double stranded RNA virus","S000005589","4932.YOR063W"
"YPR047W","MSF1","Mitochondrial phenylalanyl-tRNA synthetase; active as a monomer, unlike the cytoplasmic subunit which is active as a dimer complexed to a beta subunit dimer; similar to the alpha subunit of E. coli phenylalanyl-tRNA synthetase","S000006251","4932.YPR047W"
"YJL143W","TIM17","Essential component of the TIM23 complex; with Tim23p, contributes to the architecture and function of the import channel; may link the import motor to the core Translocase of the Inner Mitochondrial membrane (TIM23 complex)","S000003679","4932.YJL143W"
"YBR002C","RER2","Forms the dehydrodolichyl diphosphate syntase (DDS) complex with NUS1; major enzyme of polyprenol synthesis in both the endoplasmic reticulum (ER) and in lipid droplets; participates in ER protein sorting; human ortholog DHDDS functionally complements the heat sensitive growth defect of a ts allele, and is associated with retinitis pigmentosa","S000000206","4932.YBR002C"
"YGR085C","RPL11B","Ribosomal 60S subunit protein L11B; expressed at half the level of Rpl11Ap; involved in ribosomal assembly; depletion causes degradation of 60S proteins and RNA; homologous to mammalian ribosomal protein L11 and bacterial L5; RPL11B has a paralog, RPL11A, that arose from the whole genome duplication","S000003317","4932.YGR085C"
